# Mol_Title	ID	SMILES
ZINC00003015	DUD_ace_D_1	CC(NC(=O)c1ccccc1SC(=O)NC(C)(C)C)C(N)=O
ZINC02137694	DUD_ace_D_454	CC(C)C(C(=O)NCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02137799	DUD_ace_D_455	CSCCC(C(=O)NC(C)C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02137886	DUD_ace_D_456	CCC(C)C(C(=O)NCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02137889	DUD_ace_D_457	CCC(C)C(NC(=O)C(C)n1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02137997	DUD_ace_D_458	CC(C)C(C(=O)NC(C)C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02138495	DUD_ace_D_459	CC(NC(=O)CCCCCn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02138530	DUD_ace_D_460	CC(C)CC(C(=O)NCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02138586	DUD_ace_D_461	CC(C)CC(NC(=O)CCn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02138901	DUD_ace_D_462	CC(C)C(NC(=O)C(C)n1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02140341	DUD_ace_D_463	Cc1c(C)c2ccc(OCC(=O)NCCC(=O)[O-])cc2oc1=O
ZINC02144692	DUD_ace_D_464	CC1=C(C(N)=O)N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1
ZINC02145743	DUD_ace_D_465	C=C(C)CC1N(CCc2ccccc2)C(=O)C2C(C(=O)[O-])C3C=CC12O3
ZINC02145747	DUD_ace_D_466	C=C(C)CC1N(CCc2ccccc2)C(=O)C2C(C(=O)[O-])C3C=CC12O3
ZINC02146698	DUD_ace_D_467	C=C(C)C1N(Cc2ccc3c(c2)OCO3)C(=O)C2C(C(=O)[O-])C3C=CC12O3
ZINC02147306	DUD_ace_D_468	CC(NC(=O)COc1ccc2c3c(c(=O)oc2c1)CCC3)C(=O)[O-]
ZINC02151482	DUD_ace_D_469	COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-]
ZINC02151851	DUD_ace_D_470	O=C([O-])COCC(=O)NCc1csc2ccccc12
ZINC02152491	DUD_ace_D_471	CSCCC(NC(=O)NCc1ccccc1)C(=O)[O-]
ZINC02152498	DUD_ace_D_472	CSCCC(NC(=O)NCc1ccc2c(c1)OCO2)C(=O)[O-]
ZINC02152944	DUD_ace_D_473	CCC(NC(=O)CCc1c(C)c2cc3c(C)coc3cc2oc1=O)C(=O)[O-]
ZINC02152945	DUD_ace_D_474	CCC(NC(=O)CCc1c(C)c2cc3c(C)coc3cc2oc1=O)C(=O)[O-]
ZINC02153097	DUD_ace_D_475	Cc1coc2cc3oc(=O)c(CC(=O)NCCCC(=O)[O-])c(C)c3cc12
ZINC02153171	DUD_ace_D_476	CSCCC(NC(=O)Cc1cc(=O)oc2c(C)c(O)ccc12)C(=O)[O-]
ZINC02154077	DUD_ace_D_477	CC(C)CC(NC(=O)NCc1ccc2c(c1)OCO2)C(=O)[O-]
ZINC02154596	DUD_ace_D_478	CCC(C)C(NC(=O)Cc1c(C)c2ccc(OC)cc2oc1=O)C(=O)[O-]
ZINC02154817	DUD_ace_D_479	Cc1coc2cc3oc(=O)c(CC(=O)NC(C(=O)[O-])C(C)C)c(C)c3cc12
ZINC02155167	DUD_ace_D_480	CSCCC(NC(=O)Nc1cccc(C(=O)[O-])c1)C(=O)[O-]
ZINC02155428	DUD_ace_D_481	COc1ccc2c(C)c(CC(=O)NC(CCSC)C(=O)[O-])c(=O)oc2c1
ZINC02155456	DUD_ace_D_482	CSCCC(NC(=O)NCCc1ccccc1)C(=O)[O-]
ZINC02156610	DUD_ace_D_483	CSCCC(NC(=O)Nc1ccc(C(=O)[O-])cc1)C(=O)[O-]
ZINC02157404	DUD_ace_D_484	COc1ccc2c(CC(=O)NC(CCSC)C(=O)[O-])cc(=O)oc2c1
ZINC02157489	DUD_ace_D_485	CSCCC(NC(=O)CCc1c(C)c2ccc(O)cc2oc1=O)C(=O)[O-]
ZINC02158399	DUD_ace_D_486	COc1cc2oc(=O)c(CC(=O)NC(C(=O)[O-])C(C)C)c(C)c2cc1Cl
ZINC02158520	DUD_ace_D_487	CCCCC(NC(=O)Cc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02158521	DUD_ace_D_488	CCCCC(NC(=O)Cc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02158957	DUD_ace_D_489	O=C([O-])COCC(=O)NCCc1c[nH]c2ccccc12
ZINC02159215	DUD_ace_D_490	CSCCC(NC(=O)Cc1c(C)c2c(O)cc(C)cc2oc1=O)C(=O)[O-]
ZINC02159392	DUD_ace_D_491	CSCC(NC(=O)COc1ccc2c(C)cc(=O)oc2c1C)C(=O)[O-]
ZINC02159855	DUD_ace_D_492	Cc1c(OCC(=O)NCC(=O)[O-])ccc2c3ccccc3c(=O)oc12
ZINC02160002	DUD_ace_D_493	CSCC(NC(=O)Cc1c(C)c2c(O)cc(C)cc2oc1=O)C(=O)[O-]
ZINC02160084	DUD_ace_D_494	COc1cc(OC)c2c(C)c(CC(=O)NCC(=O)[O-])c(=O)oc2c1
ZINC02160768	DUD_ace_D_495	CCC(C)C(C(=O)NC(C)C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02160777	DUD_ace_D_496	CC(C)CC(C(=O)NCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02160783	DUD_ace_D_497	CC(C)C(C(=O)NC(C)C(=O)[O-])n1cnc2ccccc2c1=O
ZINC02160861	DUD_ace_D_498	CCC(C)C(C(=O)NC(CC(C)C)C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02160864	DUD_ace_D_499	CSCCC(C(=O)NCCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02160919	DUD_ace_D_500	CC(C)CC(C(=O)N1CCCC1C(=O)[O-])n1cnc2ccccc2c1=O
ZINC02160990	DUD_ace_D_501	CC(C)CC(C(=O)NC(C(=O)[O-])C(C)C)n1c(=O)[nH]c2ccccc2c1=O
ZINC02161048	DUD_ace_D_502	CCC(C)C(C(=O)NCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02161186	DUD_ace_D_503	CSCCC(C(=O)NC(C(=O)[O-])C(C)C)n1cnc2ccccc2c1=O
ZINC02161240	DUD_ace_D_504	CCC(C)C(NC(=O)C(C(C)CC)n1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02165013	DUD_ace_D_505	CCCCNC(=O)Nc1cccc(S(=O)(=O)[O-])c1
ZINC02172620	DUD_ace_D_506	CC(C)C(NC(=O)OCc1ccccc1)C(=O)NCC(=O)[O-]
ZINC02190401	DUD_ace_D_507	CC(=O)NCCc1ccc(S(=O)(=O)NCCCl)cc1
ZINC02194611	DUD_ace_D_508	CCC(C)C(NC(=O)C(C(C)C)n1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02195091	DUD_ace_D_509	CCCNC(=O)CCC(=O)Nc1nc2ccccc2s1
ZINC02197333	DUD_ace_D_510	O=C([O-])CCNC(=O)C1CCC(Cn2c(=O)[nH]c3ccccc3c2=O)CC1
ZINC02197800	DUD_ace_D_511	O=C([O-])CCCNC(=O)CCn1nnc2ccccc2c1=O
ZINC02198778	DUD_ace_D_512	CSCCC(NC(=O)NCc1ccccc1F)C(=O)[O-]
ZINC02199593	DUD_ace_D_513	CSCCC(NC(=O)Nc1ccc2c(c1)OCO2)C(=O)[O-]
ZINC02199786	DUD_ace_D_514	CC(C)C(C(=O)NC(C)C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02200834	DUD_ace_D_515	CSCCC(NC(=O)CCCn1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02202399	DUD_ace_D_516	CCCCC(C(=O)N1CCCC1C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02202401	DUD_ace_D_517	CCCCC(C(=O)N1CCCC1C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02203201	DUD_ace_D_518	CC(C(=O)NCC1CCC(C(=O)[O-])CC1)n1cnc2ccccc2c1=O
ZINC02206694	DUD_ace_D_519	O=C([O-])CNC(=O)CCCCCn1cnc2ccccc2c1=O
ZINC02210593	DUD_ace_D_520	O=C([O-])CCNC(=O)CCn1cnc2ccccc2c1=O
ZINC02211586	DUD_ace_D_521	COc1ccc(NC(=O)NC(CCSC)C(=O)[O-])c(OC)c1
ZINC02212736	DUD_ace_D_522	O=C([O-])C1CCC(CNC(=O)Cn2nnc3ccccc3c2=O)CC1
ZINC02215517	DUD_ace_D_523	CSCCC(C(=O)NCCCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02215586	DUD_ace_D_524	CSCCC(NC(=O)C(C(C)C)n1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02218109	DUD_ace_D_525	CCCC(C(=O)NC(C)C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02218110	DUD_ace_D_526	CCCC(C(=O)NC(C)C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02221459	DUD_ace_D_527	CC(C(=O)NCCCCCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02221783	DUD_ace_D_528	O=C([O-])C1CCC(CNC(=O)Cn2cnc3ccccc3c2=O)CC1
ZINC02227207	DUD_ace_D_529	O=C([O-])CCNC(=O)C1CCC(Cn2cnc3ccccc3c2=O)CC1
ZINC02229089	DUD_ace_D_530	O=C([O-])CCCNC(=O)CCCn1nnc2ccccc2c1=O
ZINC02229092	DUD_ace_D_531	CC(NC(=O)C1CCC(Cn2nnc3ccccc3c2=O)CC1)C(=O)[O-]
ZINC02229786	DUD_ace_D_532	CCCC(C(=O)NCCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02229788	DUD_ace_D_533	CCCC(C(=O)NCCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02235626	DUD_ace_D_534	O=C([O-])CCNC(=O)C1CCC(Cn2nnc3ccccc3c2=O)CC1
ZINC02237169	DUD_ace_D_535	O=C([O-])CCNC(=O)CCCn1cnc2ccccc2c1=O
ZINC02238995	DUD_ace_D_536	O=C([O-])CNC(=O)C1CCC(Cn2cnc3ccccc3c2=O)CC1
ZINC02242352	DUD_ace_D_537	CC(NC(=O)CCCCCn1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02250663	DUD_ace_D_538	CCCCCOc1ccc(C(CC(N)=O)CC(=O)[O-])cc1
ZINC02258906	DUD_ace_D_539	CCOc1ccc(C(=O)NCC(=O)NCC(=O)[O-])cc1
ZINC02275583	DUD_ace_D_540	CCOC(=O)c1ccc(CN(C(=O)CCC(=O)[O-])C(C)(C)C)cc1
ZINC02280610	DUD_ace_D_541	O=C([O-])CCC(=O)N(Cc1ccco1)C1CC(=O)N(c2ccc(F)cc2)C1=O
ZINC02280611	DUD_ace_D_542	O=C([O-])CCC(=O)N(Cc1ccco1)C1CC(=O)N(c2ccc(F)cc2)C1=O
ZINC02287437	DUD_ace_D_543	COc1cc(NC(=O)NS(=O)(=O)c2ccc(C)cc2)c(C(=O)[O-])cc1OC
ZINC02291004	DUD_ace_D_544	O=C(CC(C(=O)[O-])C1CCCO1)NCCc1ccc2c(c1)OCO2
ZINC02291005	DUD_ace_D_545	O=C(CC(C(=O)[O-])C1CCCO1)NCCc1ccc2c(c1)OCO2
ZINC02291006	DUD_ace_D_546	O=C(CC(C(=O)[O-])C1CCCO1)NCCc1ccc2c(c1)OCO2
ZINC02291007	DUD_ace_D_547	O=C(CC(C(=O)[O-])C1CCCO1)NCCc1ccc2c(c1)OCO2
ZINC02310495	DUD_ace_D_548	CCc1cc(=O)oc2cc(OC(C)C(=O)N3CCCC3C(=O)[O-])ccc12
ZINC02311216	DUD_ace_D_549	CC(CCC(=O)[O-])(NC(=O)Cc1ccccc1)C(=O)[O-]
ZINC02311217	DUD_ace_D_550	CC(CCC(=O)[O-])(NC(=O)Cc1ccccc1)C(=O)[O-]
ZINC02321606	DUD_ace_D_551	C=CCN(C(=O)CCC(=O)[O-])C1CC(=O)N(c2ccc(OC)cc2)C1=O
ZINC02321607	DUD_ace_D_552	C=CCN(C(=O)CCC(=O)[O-])C1CC(=O)N(c2ccc(OC)cc2)C1=O
ZINC02326137	DUD_ace_D_553	O=C([O-])CCNC(=O)CCCn1nnc2ccccc2c1=O
ZINC02328310	DUD_ace_D_554	CC(C(=O)NCC1CCC(C(=O)[O-])CC1)n1nnc2ccccc2c1=O
ZINC02328411	DUD_ace_D_555	CC(C(=O)NCCCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02328599	DUD_ace_D_556	O=C([O-])CCCCCNC(=O)Cn1cnc2ccccc2c1=O
ZINC02330059	DUD_ace_D_557	O=C([O-])CCNC(=O)CCn1c(=O)[nH]c2ccccc2c1=O
ZINC02331845	DUD_ace_D_558	CSCCC(C(=O)NCCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02332425	DUD_ace_D_559	O=C([O-])CCNC(=O)CCCn1c(=O)[nH]c2ccccc2c1=O
ZINC02337612	DUD_ace_D_560	CCCC(C(=O)NCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02337614	DUD_ace_D_561	CCCC(C(=O)NCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02340396	DUD_ace_D_562	CSCCC(NC(=O)C(C)n1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02340976	DUD_ace_D_563	O=C([O-])CCCNC(=O)CCCn1cnc2ccccc2c1=O
ZINC02341140	DUD_ace_D_564	COc1ccc2c(CC(=O)NCC3CCC(C(=O)[O-])CC3)cc(=O)oc2c1
ZINC02342060	DUD_ace_D_565	CC(C)C(C(=O)N1CCCC1C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02342151	DUD_ace_D_566	O=C([O-])CCNC(=O)CCCCCn1cnc2ccccc2c1=O
ZINC02348045	DUD_ace_D_567	O=C([O-])CCCNC(=O)CCn1cnc2ccccc2c1=O
ZINC02348458	DUD_ace_D_568	CC(C)CC(C(=O)N1CCCC1C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02348583	DUD_ace_D_569	O=C([O-])C1CCC(CNC(=O)CCn2cnc3ccccc3c2=O)CC1
ZINC02350583	DUD_ace_D_570	CCC(C)C(C(=O)NC(CCSC)C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02350989	DUD_ace_D_571	CC(NC(=O)CCCn1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02351375	DUD_ace_D_572	O=C([O-])C(Cc1ccccc1)NC(=O)NCCCCCO
ZINC02354414	DUD_ace_D_573	O=C([O-])C1CCCN1C(=O)CCCn1nnc2ccccc2c1=O
ZINC02355106	DUD_ace_D_574	O=C([O-])CNC(=O)CCCn1cnc2ccccc2c1=O
ZINC02356859	DUD_ace_D_575	CC(C)C(NC(=O)Cn1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02357332	DUD_ace_D_576	CC(C)C(C(=O)NCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02358865	DUD_ace_D_577	CCCCC(C(=O)NCCCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02358866	DUD_ace_D_578	CCCCC(C(=O)NCCCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02364567	DUD_ace_D_579	CSCCC(NC(=O)Cn1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02365415	DUD_ace_D_580	NC(=O)CSc1nc2ccccc2c(=O)n1CC1CCCC1
ZINC02365593	DUD_ace_D_581	O=C([O-])CNC(=O)C1CCC(Cn2nnc3ccccc3c2=O)CC1
ZINC02367235	DUD_ace_D_582	COc1cccc(NC(=O)NC(CCSC)C(=O)[O-])c1
ZINC02375807	DUD_ace_D_583	Cc1nc(SCC(=O)NCCCO)nc2ccccc12
ZINC02387115	DUD_ace_D_584	CC(=O)NCCN(C)c1ccc(C(=O)c2ccccc2C(=O)[O-])c(O)c1
ZINC02387116	DUD_ace_D_585	CC(=O)Nc1ccc(O)cc1SCC(NC(C)=O)C(=O)[O-]
ZINC02389632	DUD_ace_D_586	COc1ccc(COC(=O)NC(CC(N)=O)C(=O)[O-])cc1
ZINC02393649	DUD_ace_D_587	Cc1ccc(S(=O)(=O)N2CCC(C(=O)NC(C)C(=O)[O-])CC2)cc1
ZINC02400101	DUD_ace_D_588	COc1cccc(CNC(=O)NC(CCSC)C(=O)[O-])c1
ZINC02403062	DUD_ace_D_589	COCCCNC(=O)NC(Cc1ccccc1)C(=O)[O-]
ZINC02407659	DUD_ace_D_590	COc1cc(NC(=O)NC(CCSC)C(=O)[O-])cc(OC)c1
ZINC02411777	DUD_ace_D_591	COc1ccc(NC(=O)NC(CCSC)C(=O)[O-])cc1OC
ZINC02412337	DUD_ace_D_592	CSCCC(NC(=O)Nc1cccc(C)c1)C(=O)[O-]
ZINC02416367	DUD_ace_D_593	Cc1nnc(NC(=O)CCC(=O)NCCc2ccccc2)s1
ZINC02417420	DUD_ace_D_594	COc1ccc(NC(=O)NC(CCSC)C(=O)[O-])cc1
ZINC02417922	DUD_ace_D_595	CSCCC(NC(=O)Nc1ccc(C)cc1)C(=O)[O-]
ZINC02421343	DUD_ace_D_596	CSCCC(NC(=O)Nc1ccc(C(C)=O)cc1)C(=O)[O-]
ZINC02428542	DUD_ace_D_597	COCCNC(=O)NC(Cc1ccccc1)C(=O)[O-]
ZINC02430883	DUD_ace_D_598	CSCCC(NC(=O)CCn1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02431335	DUD_ace_D_599	CN(C)C(=O)CC1(CC(=O)Nc2ccc(O)c(C(=O)[O-])c2)CCCC1
ZINC02432433	DUD_ace_D_600	O=C([O-])C1CCC(CNC(=O)CCn2nnc3ccccc3c2=O)CC1
ZINC02432504	DUD_ace_D_601	CSCCC(C(=O)NC(C(=O)[O-])C(C)C)n1nnc2ccccc2c1=O
ZINC02433022	DUD_ace_D_602	CSCCC(C(=O)NCC(=O)[O-])n1nnc2ccccc2c1=O
ZINC02433376	DUD_ace_D_603	O=C([O-])CCCCCNC(=O)Cn1nnc2ccccc2c1=O
ZINC02434312	DUD_ace_D_604	CCCC(C(=O)NCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02434313	DUD_ace_D_605	CCCC(C(=O)NCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02434840	DUD_ace_D_606	CSCCC(NC(=O)Nc1ccccc1C)C(=O)[O-]
ZINC02435292	DUD_ace_D_607	CC(Oc1ccc2c3c(c(=O)oc2c1)CCC3)C(=O)NCCC(=O)[O-]
ZINC02435293	DUD_ace_D_608	CC(Oc1ccc2c3c(c(=O)oc2c1)CCC3)C(=O)NCCC(=O)[O-]
ZINC02436496	DUD_ace_D_609	CCCCC(C(=O)NCCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02436498	DUD_ace_D_610	CCCCC(C(=O)NCCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02437672	DUD_ace_D_611	O=C([O-])C1C2C=CC(C2)C1C(=O)N(Cc1ccco1)CC1CCCO1
ZINC02438341	DUD_ace_D_612	CSCCC(C(=O)NC(C)C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02439338	DUD_ace_D_613	O=C([O-])CCNC(=O)COc1ccc2c3c(c(=O)oc2c1)CCC3
ZINC02439473	DUD_ace_D_614	CSCCC(C(=O)N1CCCC1C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02439540	DUD_ace_D_615	CCC(C)C(C(=O)N1CCCC1C(=O)[O-])n1nnc2ccccc2c1=O
ZINC02440001	DUD_ace_D_616	CCc1cccc(NC(=O)NC(CCSC)C(=O)[O-])c1
ZINC02440057	DUD_ace_D_617	CCC(NC(=O)C(CCSC)n1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02440058	DUD_ace_D_618	CCC(NC(=O)C(CCSC)n1nnc2ccccc2c1=O)C(=O)[O-]
ZINC02442966	DUD_ace_D_619	O=C([O-])CCCNC(=O)C1CCC(Cn2nnc3ccccc3c2=O)CC1
ZINC02444450	DUD_ace_D_620	O=C([O-])CCCNC(=O)Cn1cnc2ccccc2c1=O
ZINC02444907	DUD_ace_D_621	O=C([O-])CCCNC(=O)Cn1nnc2ccccc2c1=O
ZINC02448771	DUD_ace_D_622	CCOc1ccc(NC(=O)NC(CCSC)C(=O)[O-])cc1
ZINC02449184	DUD_ace_D_623	CC(Cc1c[nH]c2ccccc12)NC(=O)CSS(=O)(=O)O
ZINC02449324	DUD_ace_D_624	C=CCn1c(SCC(N)=O)nnc1-c1cccc(OC)c1
ZINC02452327	DUD_ace_D_625	COc1cccc(-c2nnc(SCC(N)=O)n2Cc2ccco2)c1
ZINC02453425	DUD_ace_D_626	COc1ccc(-c2nnc(SCC(N)=O)n2Cc2ccco2)cc1
ZINC02456233	DUD_ace_D_627	Cc1ccccc1C(=O)N1CCN(C(=O)CCCC(=O)[O-])CC1
ZINC02456246	DUD_ace_D_628	Cn1c2ccccc2c(CC(=O)NCC2CCCO2)c1C(=O)[O-]
ZINC02456248	DUD_ace_D_629	Cn1c2ccccc2c(CC(=O)NCC2CCCO2)c1C(=O)[O-]
ZINC02456259	DUD_ace_D_630	Cc1cccc(C(=O)N2CCN(C(=O)CCCC(=O)[O-])CC2)c1
ZINC02456282	DUD_ace_D_631	Cc1ccc(C(=O)N2CCN(C(=O)CCCC(=O)[O-])CC2)cc1
ZINC02456498	DUD_ace_D_632	O=C([O-])CCCC(=O)N1CCN(C(=O)c2ccccc2)CC1
ZINC02456541	DUD_ace_D_633	O=C([O-])CCC(=O)N1CCN(C(=O)c2ccccc2Cl)CC1
ZINC02456543	DUD_ace_D_634	O=C([O-])CCCC(=O)N1CCN(C(=O)c2ccccc2Cl)CC1
ZINC02457434	DUD_ace_D_635	COc1ccc(N2CCN(C(=O)CCCC(=O)[O-])CC2)cc1
ZINC02460794	DUD_ace_D_636	O=C(CCn1c(=O)[nH]c2ccsc2c1=O)NCc1ccc2c(c1)OCO2
ZINC02461734	DUD_ace_D_637	C=CCNC(=O)CCCn1c(=O)[nH]c2ccc(Br)cc2c1=O
ZINC02463844	DUD_ace_D_638	CC(C)(C)CC(C)(C)NC(=O)CSc1[nH]cnc2ncnc1-2
ZINC02466823	DUD_ace_D_639	COc1cc(OC)cc(-n2c(=O)c3sccc3n(CC(N)=O)c2=O)c1
ZINC02477405	DUD_ace_D_640	CCCNC(=O)Cn1cnc2sc(C(=O)[O-])c(C)c2c1=O
ZINC02484853	DUD_ace_D_641	CSCCC(NC(=O)CCN1C(=O)c2ccccc2C1=O)C(=O)[O-]
ZINC02484855	DUD_ace_D_642	CSCCC(NC(=O)CCN1C(=O)c2ccccc2C1=O)C(=O)[O-]
ZINC02486374	DUD_ace_D_643	CCCCC(CC)CNC(=O)C1C2C=CC(O2)C1C(=O)[O-]
ZINC02486376	DUD_ace_D_644	CCCCCC(C)NC(=O)C1C2C=CC(O2)C1C(=O)[O-]
ZINC02497318	DUD_ace_D_645	O=C([O-])C1C2c3ccccc3C(c3ccccc32)C1C(=O)NCCO
ZINC02499406	DUD_ace_D_646	CC(=O)NC(CCS(C)(=O)=O)C(=O)Nc1cccc(Cl)c1
ZINC02499410	DUD_ace_D_647	CC(=O)NC(CCS(C)(=O)=O)C(=O)Nc1ccc(F)cc1
ZINC02503026	DUD_ace_D_648	O=C([O-])C1=C(Cl)CSC2C(NC(=O)COc3ccccc3)C(=O)N12
ZINC02503027	DUD_ace_D_649	O=C([O-])C1=C(Cl)CSC2C(NC(=O)COc3ccccc3)C(=O)N12
ZINC02503028	DUD_ace_D_650	O=C([O-])C1=C(Cl)CSC2C(NC(=O)COc3ccccc3)C(=O)N12
ZINC02521491	DUD_ace_D_651	COc1nc(C)nc(NC(=O)NS(=O)(=O)c2cc(O)ccc2Cl)n1
ZINC02523111	DUD_ace_D_652	O=C([O-])COCC(=O)N1CCC(c2nc3ccccc3s2)CC1
ZINC02527661	DUD_ace_D_653	CC(C)(C)OC(=O)NC(CC(=O)N[O-])c1ccc(F)cc1
ZINC02527662	DUD_ace_D_654	CC(C)(C)OC(=O)NC(CC(=O)N[O-])c1ccc(Cl)cc1
ZINC02530787	DUD_ace_D_655	CC(NC(=O)OC(C)(C)C)C(=O)NC(Cc1ccc(O)cc1)C(=O)[O-]
ZINC02537187	DUD_ace_D_656	CCn1cc(CNC(=O)C2CC=CCC2C(=O)[O-])cn1
ZINC02556760	DUD_ace_D_657	CC(O)C(NC(=O)OCc1ccccc1)C(=O)N1CCCC1C(=O)[O-]
ZINC02557490	DUD_ace_D_658	COc1ccc(CNC(=O)CSCC(=O)[O-])cc1
ZINC02557491	DUD_ace_D_659	Cc1ccc(CNC(=O)CSCC(=O)[O-])cc1
ZINC02558710	DUD_ace_D_660	CC(NS(=O)(=O)c1cccc2c1cccc2N(C)C)C(=O)NCC(=O)[O-]
ZINC02559992	DUD_ace_D_661	COc1cc(OC)cc(C(C)(C)OC(=O)NC(CC(N)=O)C(=O)[O-])c1
ZINC02560893	DUD_ace_D_662	CC(C)CC(NC(=O)CNC(=O)C=Cc1ccco1)C(=O)[O-]
ZINC02561167	DUD_ace_D_663	COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)[O-]
ZINC02565015	DUD_ace_D_664	CS(=O)(=O)CCC(NC(=O)Nc1cccc(Cl)c1)C(=O)[O-]
ZINC02567652	DUD_ace_D_665	CC(NC(=O)C(CC(=O)[O-])NC(=O)C=Cc1ccco1)C(=O)[O-]
ZINC02572690	DUD_ace_D_666	CC(=O)NC(Cc1c[nH]c2ccc(OC(C)=O)cc12)C(=O)[O-]
ZINC02573111	DUD_ace_D_667	CC(C)(Oc1ccc(Cl)cc1)C(=O)OCC(=O)NCC(=O)[O-]
ZINC02581756	DUD_ace_D_668	CCCCN1C(=O)CCC(C(=O)[O-])C1c1c[nH]c2ccccc21
ZINC02593953	DUD_ace_D_669	Cc1ccc2[nH]c(=NC(=O)CCC(=O)NCCO)sc2c1
ZINC02601724	DUD_ace_D_670	O=C(CCn1c(=O)[nH]c2ccsc2c1=O)NCC1CCCO1
ZINC02601726	DUD_ace_D_671	C=CCNC(=O)CCCCCn1c(=O)[nH]c2ccsc2c1=O
ZINC02601728	DUD_ace_D_672	COCCNC(=O)CCCn1c(=O)[nH]c2ccsc2c1=O
ZINC02601729	DUD_ace_D_673	CCCCNC(=O)CCCn1c(=O)[nH]c2ccsc2c1=O
ZINC02601733	DUD_ace_D_674	C=CCNC(=O)CCCn1c(=O)[nH]c2ccsc2c1=O
ZINC02601928	DUD_ace_D_675	CCCCNC(=O)Cc1c2ccccc2[nH]c1C(=O)[O-]
ZINC02617870	DUD_ace_D_676	Nc1cc(C(=O)OCC(=O)NCC2CCCO2)ccc1Cl
ZINC02617871	DUD_ace_D_677	Nc1cc(C(=O)OCC(=O)NCC2CCCO2)ccc1Cl
ZINC02619230	DUD_ace_D_678	COCCn1c(SC(C)C(=O)NC(N)=O)nc2ccccc2c1=O
ZINC02620172	DUD_ace_D_679	C=CCn1c(COc2ccccc2F)nnc1SCC(N)=O
ZINC02623086	DUD_ace_D_680	CCCn1c(O)nnc1SCC(=O)NCc1ccccc1
ZINC02623742	DUD_ace_D_681	O=C([O-])c1nn(CC(=O)NC2CCCCCC2)c(=O)c2ccccc21
ZINC02624199	DUD_ace_D_682	Cc1ccc(C)c(OCc2nnc(SCC(=O)NC(N)=O)o2)c1
ZINC02625399	DUD_ace_D_683	NC(=O)COC(=O)CCCSc1nc2ccccc2s1
